MMSI,Longitude,Latitude,SOG,COG,Heading
316013007,-76.47541,44.23264,-0.1,-49.6,120.0
316013007,-76.47331,44.22846,-0.1,-49.6,179.0
316013007,-76.47704,44.23262,-0.1,-49.6,100.0
316013007,-76.47384,44.23064,-0.1,-49.6,172.0
316013007,-76.47017,44.22276,-0.1,-49.6,103.0
316013007,-76.47291,44.22363,-0.1,-49.6,151.0
316013007,-76.46644,44.22222,-0.1,-49.6,105.0
316013007,-76.46213,44.22148,-0.1,-49.6,106.0
316013007,-76.47337,44.22577,-0.1,-49.6,184.0
316013007,-76.44946,44.21953,-0.1,-49.6,104.0
316013007,-76.45766,44.22078,-0.1,-49.6,102.0
316013007,-76.44503,44.21882,-0.1,-49.6,105.0
316013007,-76.44123,44.21819,-0.1,-49.6,106.0
316013007,-76.45385,44.22019,-0.1,-49.6,104.0
316013007,-76.43739,44.21754,-0.1,-49.6,106.0
316013007,-76.42937,44.21605,-0.1,-49.6,108.0
316013007,-76.43306,44.21675,-0.1,-49.6,104.0
316013007,-76.42608,44.21536,-0.1,-49.6,114.0
316013007,-76.42605,44.21536,-0.1,-49.6,116.0
316013007,-76.42604,44.21535,-0.1,-49.6,116.0
316013007,-76.42605,44.21535,-0.1,-49.6,116.0
316013007,-76.42683,44.21551,-0.1,-49.6,108.0
316013007,-76.42604,44.21536,-0.1,-49.6,116.0
316013007,-76.42606,44.21536,-0.1,-49.6,117.0
316013007,-76.42605,44.21535,-0.1,-49.6,116.0
316013007,-76.42603,44.21535,-0.1,-49.6,116.0
316013007,-76.42603,44.21535,-0.1,-49.6,116.0
316013007,-76.42604,44.21535,-0.1,-49.6,116.0
316013007,-76.42605,44.21535,-0.1,-49.6,116.0
316013007,-76.42895,44.21591,-0.1,-49.6,100.0
316013007,-76.43645,44.21722,-0.1,-49.6,99.0
316013007,-76.42625,44.21539,-0.1,-49.6,110.0
316013007,-76.44806,44.21909,-0.1,-49.6,107.0
316013007,-76.43295,44.21657,-0.1,-49.6,100.0
316013007,-76.4405,44.21796,-0.1,-49.6,100.0
316013007,-76.45952,44.22075,-0.1,-49.6,96.0
316013007,-76.44467,44.21861,-0.1,-49.6,102.0
316013007,-76.45612,44.2204,-0.1,-49.6,103.0
316013007,-76.46364,44.22111,-0.1,-49.6,100.0
316013007,-76.47153,44.22278,-0.1,-49.6,112.0
316013007,-76.45227,44.21981,-0.1,-49.6,106.0
316013007,-76.47417,44.23108,-0.1,-49.6,159.0
316013007,-76.47702,44.23262,-0.1,-49.6,99.0
316013007,-76.46762,44.22183,-0.1,-49.6,102.0
316013007,-76.47358,44.22795,-0.1,-49.6,171.0
316013007,-76.47705,44.2326,-0.1,-49.6,101.0
316013007,-76.47705,44.2326,-0.1,-49.6,100.0
316013007,-76.47704,44.23261,-0.1,-49.6,101.0
316013007,-76.47704,44.23262,-0.1,-49.6,101.0
